url_detalle,cargo_especifico,empresa_nombre,ubicacion_provincia,salario_mensual_base,experiencia_requerida,menciones_tecnologia,tipo_contrato,jornada,educacion_minima,modalidad
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-gran-oportunidad-laboral-unete-a-nuestro-equipo-y-asegura-tu-futuro-en-lima-B87B13228354F7D461373E686DCF3405,Asesor Comercial,iTALK,"Lima, Lima",1130.0,1.0,3,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-san-isidro-asesor-de-ventas-de-camposueldo-fijo-planilla-bonos-y-comisiones-en-san-isidro-398678708DD1A8ED61373E686DCF3405,San Isidro/ Asesor de Ventas de Campo/Sueldo fijo/ Planilla,"3,1Digital Max","San Isidro, Lima",1130.0,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-ventas-puruchucosanta-clarasanta-anita-linea-de-carrera-comisiones-top-en-ate-E2799E306DDB924761373E686DCF3405,Asesor/a de ventas (Puruchuco/Santa Clara/Santa Anita),HIROPHONE,"Ate, Lima",,,3,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-part-time-l-a-v-asesor-comercial-productos-importadossede-pro-en-los-olivos-36372BE25CD16ED261373E686DCF3405,Part Time / L a V/ asesor comercial/ productos importados/Sede Pro,Protech Service,"Los Olivos, Lima",,1.0,3,Contrato por Obra Determinada o Servicio Específico,Parcial,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-sanna-asesor-de-salud-lima-planilla-directa-trabajo-hibrido-en-san-borja-C37DF5F3512B6D2561373E686DCF3405,Sanna / Asesor de Salud / Lima / Planilla Directa/ Trabajo Híbrido,"4,3Manpower","San Borja, Lima",,2.0,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-call-center-inbound-l-e-a-d-s-asesor-digital-de-seguros-de-vidal-lunes-a-viernes-en-san-isidro-5A008A3B99E865C961373E686DCF3405,Asesores call center inbound (L E A D S) /Asesor Digital de Seguros de Vida/l Lunes a Viernes,"4,3Manpower","San Isidro, Lima",1500.0,2.0,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-negocios-huaral-en-huaral-BBFF436A27F19D3861373E686DCF3405,Asesor de Negocios  Huaral,"4,4CAJA TRUJILLO","Huaral, Lima",,1.0,4,Contrato a Plazo Indeterminado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-cobranzas-cartera-castigada-sede-jesus-maria-en-jesus-maria-F3650B42DC6AD83E61373E686DCF3405,Asesor de cobranzas (cartera castigada),A365,"Jesus Maria, Lima",,,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventaclientes-interesados-part-time-sueldo-fijo-comisionsede-pro-en-comas-E3855ED927B2436A61373E686DCF3405,Asesor de venta/clientes interesados/ Part Time / sueldo fijo + comisión/Sede Pro,Protech Service,"Comas, Lima",,,3,Contrato por Obra Determinada o Servicio Específico,Parcial,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-tiendas-efe-itinerante-mala-en-lima-2B4252D1D7958A7C61373E686DCF3405,Asesor de ventas / Tiendas EFE/ Itinerante Mala,"4,3Grupo EFE","Lima, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial--condominios-y-residencial-fijo-planilla-planilla-en-la-victoria-83B3A149BC84F20C61373E686DCF3405,Asesor comercial  / condominios y residencial/ Fijo + Planilla,"3,1Digital Max","La Victoria, Lima",1500.0,1.0,4,Contrato por Necesidades del Mercado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-de-lunes-a-viernes-asesor-de-ventas-descansa-fijo-sabado-y-domingo-cs-experiencia-bono-de-movilidad-200-solesplanilla-completa-presencial-en-santa-anita-11AF48293DFE2B8161373E686DCF3405,Trabaja de Lunes a Viernes/ asesor de ventas/ descansa fijo sabado y domingo/ c/s experiencia,"4,3Atento Perú","Santa Anita, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-descansa-domingos-asesor-telefonico-para-atencion-turno-tarde-centro-de-lima-en-lima-DA2DE0C37336366061373E686DCF3405,Descansa Domingos/ Asesor Telefónico para Atención/ Turno Tarde,"4,1Covisian Perú","Lima, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-guru-cs-experiencia-en-san-miguel-6C06303191863BCA61373E686DCF3405,Asesor GURU C/S  Experiencia,"4,3NetCall","San Miguel, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-guru-cs-experiencia-zona-centro-cercado-de-lima-en-lima-840E5F733C4FCA9E61373E686DCF3405,Asesor GURU C/S  Experiencia,"4,3NetCall","Lima, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-guru-cs-experiencia-zona-norte-en-los-olivos-37E68A5679B4240361373E686DCF3405,Asesor GURU C/S  Experiencia,"4,3NetCall","Los Olivos, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-call-center-bbva-sueldo-fijo-comisiones-ilimitadas-bonos-en-lima-0DD711D29DD357B761373E686DCF3405,Asesor Call Center BBVA,"4,0MF Asesoria y Consultoria SAC","Lima, Lima",,1.0,4,Contrato por Necesidades del Mercado,Completa,técnico,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-bellezamaquillajebelleza-consultor-a-sector-retail-open-plaza-plaza-lima-sur-en-lima-0E9C73445F1B6CEE61373E686DCF3405,Asesora de Belleza/Maquillaje/Belleza / Consultor (a) / Sector Retail / Open Plaza / Plaza Lima Sur,"4,3Manpower","Lima, Lima",,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-8-horas-now-miraflores-san-isidro-vendedor-de-moda-en-miraflores-5CD5CF6B0E5C5B9D61373E686DCF3405,Asesor de ventas 8 horas/ Now Miraflores/ San Isidro,"3,7Corporacion Textil Unidos SAC","Miraflores, Lima",,,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-tmanana-cercado-de-lima-call-center-solo-6-horas-gana-mas-de-3000-planilla-completa-en-lima-BAE7577837A2FE3661373E686DCF3405,Asesor educativo T.Mañana Cercado de lima Call center solo 6 horas,TALENTOS CQ E.I.R.L.,"Lima, Lima",1130.0,,4,Contrato Intermitente,Completa,educación secundaria,Presencial
