id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
1AB396586CDA1D7461373E686DCF3405,Analista de Comercial / Ventas,INKA CROPS S.A,San Juan De Lurigancho,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,6
5C2724CA08F276DA61373E686DCF3405,Analista de Salud / Farmacia,GENCOPHARMACEUTICAL,Ate,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
DFEE7A6BFF07BAD361373E686DCF3405,Analista (General),Importante empresa del sector,Chorrillos,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
54DBC291F0B395A661373E686DCF3405,Analista de Logística / Operaciones,Compañía Nacional de Chocolates de Perú S.A.,Lima,1,2800.0,Alto,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
97DEBE6E30C22BF561373E686DCF3405,Analista de Comercial / Ventas,Importante empresa del sector VENTA DE EPPS,Ate,1,3000.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
04652A3D4347746861373E686DCF3405,Analista de Créditos y Cobranzas,Coop. de Ahorro y Crédito Petroperu Ltda.,Lince,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
B770FFEBE0B897A561373E686DCF3405,Analista (General),Importante empresa Distribuidora Farmacéutica,Ate,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
1BB5C6299C89997D61373E686DCF3405,Analista (General),Importante empresa del sector,Lurigancho,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
05B0A6E4CE23968761373E686DCF3405,Analista (General),CONSERH,Lince,1,2000.0,Alto,0,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
D64D677891F1009361373E686DCF3405,Analista de Datos / BI,Importante empresa del sector,Lima,1,3500.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,7
